############## Preludio 1 ##################
## Figura minima: Semi Corchea #############
## Maximo notas en un tiempo:  3 ###########
############################################

0   0   4   -1   -1   4
0   8   4   -1   4   4
11  8   4   4   4   4
4   8   4   5   4   4
8   8   4   5   4   4
11  8   4   4   4   4
4   8   4   5   4   4
8   8   4   5   4   4
0   0   4   -1   -1   4
0   8   4   -1   4   4
11  8   4   4   4   4
4   8   4   5   4   4
8   8   4   5   4   4
11  8   4   4   4   4
4   8   4   5   4   4
8   8   4   5   4   4
0   0   4   -1   -1   4
0   6   4   -1   4   4
1   6   4   4   4   4
6   6   4   5   4   4
9   6   4   5   4   4
1   6   4   4   4   4
6   6   4   5   4   4
9   6   4   5   4   4
0   0   4   -1   -1   4
0   6   4   -1   4   4
1   6   4   4   4   4
6   6   4   5   4   4
9   6   4   5   4   4
1   6   4   4   4   4
6   6   4   5   4   4
9   6   4   5   4   4
0   0   3   -1   -1   3
0   5   3   -1   4   3
11  5   3   4   4   3
6   5   3   5   4   3
9   5   3   5   4   3
11  5   3   4   4   3
6   5   3   5   4   3
9   5   3   5   4   3
0   0   3   -1   -1   3
0   5   3   -1   4   3
11  5   3   4   4   3
6   5   3   5   4   3
9   5   3   5   4   3
11  5   3   4   4   3
6   5   3   5   4   3
9   5   3   5   4   3
0   0   4   -1   -1   4
0   8   4   -1   4   4
11  8   4   4   4   4
4   8   4   5   4   4
8   8   4   5   4   4
11  8   4   4   4   4
4   8   4   5   4   4
8   8   4   5   4   4
0   0   4   -1   -1   4
0   8   4   -1   4   4
11  8   4   4   4   4
4   8   4   5   4   4
8   8   4   5   4   4
11  8   4   4   4   4
4   8   4   5   4   4
8   8   4   5   4   4
0   0   4   -1   -1   4
0   8   4   -1   4   4
1   8   4   4   4   4
8   8   4   5   4   4
1   8   4   5   4   4
1   8   4   4   4   4
8   8   4   5   4   4
1   8   4   5   4   4
0   0   4   -1   -1   4
0   8   4   -1   4   4
1   8   4   4   4   4
8   8   4   5   4   4
1   8   4   5   4   4
1   8   4   4   4   4
8   8   4   5   4   4
1   8   4   5   4   4
0   0   4   -1   -1   4
0   6   4   -1   4   4
10  6   4   4   4   4
1   6   4   4   4   4
6   6   4   5   4   4
10  6   4   4   4   4
1   6   4   4   4   4
6   6   4   5   4   4
0   0   4   -1   -1   4
0   6   4   -1   4   4
10  6   4   4   4   4
1   6   4   4   4   4
6   6   4   5   4   4
10  6   4   4   4   4
1   6   4   4   4   4
6   6   4   5   4   4
0   0   3   -1   -1   3
0   6   3   -1   4   3
11  6   3   4   4   3
